Mixture	HCC001	HCC002	HCC003	HCC004	HCC005	HCC006	HCC007	HCC008	HCC009	HCC010	HCC011	HCC012	HCC013	HCC014	HCC015	HCC016	HCC017	HCC018	HCC019	HCC020	HCC021	HCC022	HCC023	HCC024	HCC025	HCC026	HCC027	HCC028	HCC029	HCC030	HCC031	HCC032	HCC033	HCC034	HCC035	HCC036	HCC037	HCC038	HCC039	HCC040	HCC041	HCC042	HCC043	HCC044	HCC045	HCC046	HCC047	HCC048	HCC049	HCC050	HCC051	HCC052	HCC053	HCC054	HCC055	HCC056	HCC057	HCC058	HCC059	HCC060	HCC061	HCC062	HCC063	HCC064	HCC065	HCC066	HCC067	HCC068	HCC069	HCC070	HCC071	HCC072	HCC073	HCC074	HCC075	HCC076	HCC077	HCC078	HCC079	HCC080	HCC081	HCC082	HCC083	HCC084	HCC085	HCC086	HCC087	HCC088	HCC089	HCC090	HCC091	HCC092	HCC093	HCC094	HCC095	HCC096	HCC097	HCC098	HCC099	HCC100	HCC101	HCC102	HCC103	HCC104	HCC105	HCC106	HCC107	HCC108	HCC109	HCC110	HCC111	HCC112
NK_cells_activated	0	0	0	0.069218547	0	0	0.003738711	0	0.039223763	0.041458595	0.041114577	0	0.033034268	0	0	0	0.044167542	0	0	0	0	0	0	0	0	0	0.052156247	0.082903678	0	0.003711145	0	0	0	0.045007673	0	0	0	0	0	0	0.085595324	0	0.042340524	0.077732359	0	0.035982268	0	0.04225914	0	0.041439411	0	0.006910673	0	0.042070525	0	0	0.036571651	0	0	0	0	0.012677452	0	0.002657821	0.004144935	0	0	0	0	0	0	0.037913973	0.043954686	0	0	0	0.068335232	0.020786374	0	0	0	0	0.002134798	0.01188528	0	0.03806067	0	0	0.025861399	0	0	0	0	0.00209289	0	0	0.03659511	0	0.004440564	0	0.068987242	0	0	0	0.013339751	0	0.02819607	0.018862246	0.007819697	0.065010944	0	0
Monocytes	0.012137192	0.126086189	0.110710659	0.157391143	0.142721919	0.051280271	0.198037871	0.269845715	0.101690942	0.172399847	0.136295905	0.169357461	0.121536229	0.038647928	0.140816987	0.198375459	0.181786027	0.144749667	0.093916546	0.208625594	0.034190924	0.176021056	0.113888953	0.140705412	0.224401697	0.109128182	0.083443602	0.124997086	0.099479699	0.119731626	0.061824898	0.114145015	0.160453474	0.162808858	0.073638087	0.122833471	0.084613114	0.103762288	0.235175632	0.063031285	0.119329814	0.213579746	0.109875956	0.110036951	0.072713836	0.165352609	0.110159363	0.234528498	0.167161232	0.131285948	0.118416601	0.155581694	0.153680475	0.172913956	0.117343155	0.231803199	0.084018984	0.040985003	0.169671873	0.078614448	0.11612347	0.113421937	0.260476613	0.124694326	0.048347944	0.191144023	0.114229018	0.203427045	0.197394572	0.152324197	0.03785681	0.085656805	0.0755794	0.11944603	0.145523915	0.069203871	0.112645962	0.211054613	0.162177667	0.165809605	0.030949371	0.142415369	0.147796901	0.272972445	0.16810843	0.084258283	0.165256149	0.200141302	0.154647628	0.134786463	0.121568631	0.174905527	0.126812063	0.150621624	0.101577053	0.043119057	0.121677217	0.204822655	0.137499579	0.086645347	0.126620896	0.12456535	0.325938202	0.045915662	0.100636209	0.227517191	0.139919651	0.069713817	0.188811486	0.189964229	0.187962597	0.107764958
Macrophages_M0	0	0	0.005947333	0.011653642	0.008881354	0.013123288	0.010245059	0.022864629	0.033452724	0.024252805	0.037156278	0.011042502	0.045449989	0.003958817	0.005617043	0	0.029088391	0.010778552	0	0.01689908	0	0.028046075	0.006285337	0.006654901	0.031388549	0.007739895	0.018570098	0.018663408	0.012058382	0.023595651	0.000242864	0.005877794	0.01373097	0.02248239	0	0.011134361	0	0.011705986	0.003848756	0.002468136	0.029676067	0.010383112	0.032951524	0.025932632	0	0.04749628	0.015169167	0.040459133	0.002200974	0.017004505	0	0.036506668	0.001380172	0.031051746	0.018387247	0.021580087	0.017279417	0.011690744	0	0.016989224	0.019365573	0.012361076	0.04730658	0	0.010419331	0.036475322	0.004498809	0.009022795	0.024881007	0.005731945	0	0.010341359	0.0284178	0.020446965	0.006960495	0	0.012665024	0.00290073	0.01759453	0.035678845	0.018271612	0.007566895	0.024924722	0.030215399	0.010420905	0	0.017339002	0.014984466	0.024992987	0	0.004711858	0.000322453	0.007845471	0.006304445	0	0	0.021527361	0.024329528	0.022248763	0.017631025	0.031349515	0.021261403	0.036020782	0.015744018	0.013470376	0.027835786	0.010072637	0.021420849	0.028190009	0.037147902	0.034404163	0.008553947
Macrophages_M1	0	0	0.00896556	0.007058757	0.004919076	0.000724582	0.008181636	0	4.44E-05	0.002106997	0.00319537	0	0	0	0.001255165	0.000370968	0	0	0.00382399	0.008420595	0.003260888	0.005532096	0.026063148	0	0.004817501	0	0.006807488	0.005049717	0.001757794	0.000764319	0.000651526	0	0.000276287	0.006377581	0	0	0.000834126	0.001810929	0.011172865	0	0	0.008784831	0	0.004169744	0.003167506	0	0	0.008303144	0.01080861	0.010132724	0.001326952	0.008376308	0.002340373	0.009242196	0.004188833	0.008094547	0	0	0.001773461	0.008462324	0.003448065	0.003039514	0.001560648	0	0.003774577	0.004980044	0.003507965	0	0.005047615	0.003199025	0.007052915	0.003614338	0.009246063	0.007004924	0.002736181	0.002306943	0.003477136	0.005625682	0.003192105	0.008498084	0	0.003882686	0.018161634	0.00781366	0.003503108	0	0.006957762	0.000973132	0.005416906	0.008929859	0.011002417	0	0.003054974	0.003711862	0	0	0.021877044	0.003725332	0	0.001160702	0.005885119	0.006728295	0	0.001841463	0.004139319	0.00553773	0.013232424	0.009366974	0.001045547	0.009853366	0.006216278	0.002300308
Macrophages_M2	0	0	6.87E-06	0.002299589	0	0	0	0	0	0	0	0.000664	0	0	0	0.005122085	0	0	0.008763658	0.003104052	0.016838185	0	0	0.003716544	0	0	0	0.016686153	0.007934006	0	0.006666888	0.003414927	0	0	0	0	0.011708548	0.001564374	0	0	0	0.023037922	0.014591741	0	0.006322986	0	0	0	0.009271129	0.016336592	0	0	0.005608317	0.005411669	0	0	0.003444524	0.012034389	0.002677022	0	0.013515079	0	0	0	0.014340935	0	0	0	0	0.011016311	0.026695384	0	0.005025525	0	0	0.014489467	0.006565175	0.002961759	0	0	0	0	0	0	0	0.004059716	0	0	0	0.012834931	0	0.007500314	0	0.011064426	0	0	0	0.020147467	0.009596962	0	0	0	0	0	0	0	0.001782886	0.012530422	0	0	0	0.010421986
Dendritic_cells_resting	0.00289103	0	0.005801287	0.006932167	0.010724845	0.001147772	0.006166979	0	0.000951904	0.003030152	0	0	0.001226419	0	0.002253687	0	0	0.000835126	0.00203205	0.004327181	0	0.00237866	0.007469652	0.001956403	0.001900728	0	0	0.0042535	0	0	0	0	0.00364978	0.003842331	0.000146643	0.00383848	1.33E-05	0.002350926	0	0	0.000760179	0.014214205	0	6.89E-05	0.005176257	0.013028613	0	0.004562312	0.009380431	0.002120672	0	0	0	0	0	0	0	0	0	0.006704064	0.001704879	0	0.00187646	0	0.006674155	0.003167197	0.003756762	0.006590349	0	0.002152696	0.005609712	0	0	0.012484784	0.001925812	0.00297384	0	0	0.002447723	0.003830048	0	0.002748875	0.003085531	0	0.00163234	0	0	0.003715486	0	0.000114509	0.010901358	0	0.006926592	0.008227461	0	0.001401048	0.000759506	0	0.009655619	0	0.001500896	0	0	0	0.004010543	0.004787707	0.00281538	0.006527827	0	0.002718936	0	0.003782404
Dendritic_cells_activated	0.003507949	0	0.003979365	0	0	0.001391727	0.002786676	0.013229042	0	0.001397382	0	0	0.006035664	0	0.004659974	0.000191061	0.002084786	0.009486352	0.003683603	0	0.005642557	0	0	0	0	0.001132271	0	0.010721939	0.008884065	0.002966933	0	0.008889521	0.008485722	0	0	0	0.003177683	0.00195557	0	0.007354722	0	0	0.007856928	0	0.007402724	0.003272797	0.00388224	0	0.001895721	0	0	0	0.000257904	8.26E-06	0	0	0.002795637	0.00615474	0.001934726	0.012056076	0	0.004545027	0	0.000848781	0	0	0	0	0	0.002643996	0.009383097	0.004854313	0.004328625	0	0.00759315	0.005359863	0.005002401	0	0	0	0.0012518	0	0	0.002889603	0.005729866	0	0	0	0.003310311	0.007296469	0.006152921	0	0	0.006126423	0	0.008481977	0	0.001094081	0.013427218	0	0	0.001464705	0.005647119	0.004905732	0.005785109	0	0	0	0.000934329	0.001310978	0.002649812	0.00099403
Mast_cells_resting	0	0	0.053656916	0.083342194	0.046352655	0.043380055	0.06029695	0.039482845	0.070210995	0.030023445	0.085641022	0.018703642	0.090235109	0.017377381	0.027957013	0.023959107	0.064937215	0	0	0.036562448	0.072888178	0.047555083	0	0.041176405	0	0.048332812	0.081059091	0.079611608	0.057329742	0.049337127	0.049086627	0.045072851	0.00420721	0.072606717	0.019148951	0.038689488	0.010949216	0.014222274	0.009143387	0.023025646	0.040522064	0.047175691	0.102092004	0.073913581	0	0.063774196	0.049246153	0.020589634	0.010108772	0.045808001	0	0.070086755	0.029553658	0.089609298	0.028097596	0	0.06253853	0.034672912	0.039613072	0.002777752	0.040306587	0.041009385	0.032559049	0.043709639	0.053362308	0.040694879	0.033578459	0.038494527	0.003767863	0.013750835	0.012592144	0.015504091	0.043714209	0	0	0.008180354	0.067005362	0.016198072	0.005807188	0.061045503	0	0.012000547	0	0.093567152	0.020272939	0.04701966	0.029464056	0.039602275	0.027340062	0.021742299	0.028622254	0.02411638	0.04418936	0.051233649	0.017140341	0	0.069867082	0.011438683	0.048786663	0.00196677	0.081339384	0.019992412	0	0.007412482	0.054883251	0.035797471	0.034218949	0.036208877	0.039031665	0.093768225	0.005944842	0.003526394
Mast_cells_activated	0.014818121	2.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040720856	0	0	0	0	0	0	0.021953742	0	0	0	0	0	0	0	0	0
Eosinophils	0.031569971	0.088677802	0.020914617	0.039146354	0.05198533	0	0	0	0.048343639	0.022831295	0.00767759	0.013210111	0.027328039	0.018526612	0.00719096	0.03708178	0.023814174	0.062276383	0.050792206	0	0.02017335	0.007558595	0.107563155	0.054680343	0.090990754	0	0.052588356	0.036912565	0.007425851	0.026281043	0.021041619	0.011654818	0.005203991	0.052545431	0.037296414	0	0.039505467	0.043697404	0.037405599	0.025955548	0.074062061	0.137420052	0.02882601	0	0.019135429	0.01160149	0	0.043123474	0.012563284	0.008907885	0.046108171	0.047500988	0.045884175	0.018689029	0.008322295	0.031250352	0.057328211	0.005826146	0.010194385	0.037864032	0.118931741	0.034736663	0.007357684	0	0.002439446	0.044108442	0.014358053	0.071127708	0.113417164	0.027738829	0.065461378	0.033761131	0.051616251	0.041208763	0.021795959	0.015731842	0.036155767	0.001892513	0.02666025	0.069732236	0.019366059	0.056283477	0.080180375	0.017904496	0.023026138	0.017225712	0.041985147	0.031211825	0.018686059	0.081170734	0.01755847	0.018504769	0.065601803	0.016270208	0.003373213	0.036580809	0.01922849	0.030178267	0.030963555	0.063124774	0.07594155	0	0	0.022821348	0.04557422	0.06543342	0.001706401	0.082083619	0.00800703	0.060712264	0.044620918	0.016890133
Neutrophils	0.107097489	0.163605343	0.078821432	0.0278978	0.097591325	0.050475015	0.095463768	0.180726342	0.024939654	0.044871067	0.00906751	0.059628814	0.149022174	0.088551332	0.038067097	0.044416823	0.048836959	0.272509993	0.11739598	0.040117763	0.260674259	0.057839849	0.152799183	0.059846786	0.220842691	0.072521079	0.087058317	0.082551433	0.062629306	0.180538171	0.081725275	0.102303377	0.114697682	0.048005951	0.309452646	0.108154086	0.035031303	0.029930111	0.046607343	0.066082703	0.119926128	0.111896971	0.161213779	0.065061071	0.148416953	0.028005129	0.02513278	0.022502844	0.100675995	0.033431658	0.073230614	0.015730777	0.061559952	0.048980072	0.070929355	0	0.063667876	0.221885749	0.10394634	0.136685575	0.029795256	0.047565755	0.201006985	0.177974863	0.087436992	0.123416469	0.048505585	0.070351753	0.122468978	0.064016219	0.073569489	0.138016764	0.030375303	0.083802948	0.051349225	0.060526091	0.021953427	0.066585355	0.066400843	0.10493678	0.247700068	0.048786802	0.055705496	0.109341095	0.049478208	0.109418192	0.048172859	0.094219875	0.070088064	0.042035925	0.07744485	0.060012609	0.138981134	0.055214172	0.407445791	0.17709031	0.03331805	0.040825234	0.11164255	0.133885869	0.075568577	0.200633308	0.119470498	0.040006748	0.201432263	0.076969699	0.032905975	0.026956518	0.039099915	0.063617355	0.055524433	0.054955347
