Mixture	ML01	ML02	ML03	ML04	ML05	ML06	ML07	ML08	ML09	ML10	ML11	ML12	ML13	ML14	ML15	ML16	ML17	ML18	ML19	ML20	ML21	ML22	ML23	ML24	ML25	ML26	ML27	ML28
Platelets	0	0.00556548492434511	0.0315012180856782	0.0150909045747858	0.0230807943371996	0	0	1.68990273301135e-19	0.0284897787363129	0.0036935766027156	0	0.0482924705360831	0	1.70008016933572e-18	1.4529252441207e-18	0.136742294624067	0.00106305532000642	0.126333745639563	0.00378230395719212	0.0520230946350138	0.0239175422198306	4.91387179300817e-19	0.0292672177443257	0	0.00976769273833025	0.146061037830998	1.64915222500407e-18	0.128276024294434
Preadipocytes	1.75315552137348e-17	0	6.06647304318359e-20	0.0296789933502187	0	0.000178195628369237	0.0135067588673038	0	2.95901708284605e-17	3.62172395595131e-19	0	0.0179441987908192	0.0172452684117474	0.005439954213373	0	0	0.00749007154666497	0.0329369226599599	0	1.33010475247255e-17	0.0233233574943438	0.0255532644990964	0.00745009660720455	0	0	0	0	0
pro_B_cells	0.0535475992299746	0.0150764828989684	0.0068363265772193	5.30802218211973e-18	0	1.27756402113814e-17	0.0207281005835405	4.06529565884304e-19	0	1.60499064283122e-18	0.000974923317403801	0.0328401910172716	1.10378803806136e-18	0	0.0387411889096702	0	0	0.0488637785900112	0.0223393125071788	0	0	0	0.0161638379422944	0.0131527764357461	0.0168679612638545	1.26878408122235e-17	1.30523063537743e-18	0
Sebocytes	0.000513565908818092	5.94570313726744e-22	0.00193131025697973	0	0	0.000483845816990894	0	0	3.19388914274338e-20	4.27176395472825e-21	5.52435044776276e-21	6.47665411540123e-20	2.54310464409563e-21	4.28163546341603e-20	0	0	5.42344418930888e-21	1.0149515966212e-20	0	0	0	0.000171653156445102	3.52125687939355e-19	1.75043786433455e-20	0	0	0	9.42910763340234e-20
Skeletal_muscle	0.00627810084602788	2.40137507136507e-20	0.0306418072531596	1.87060283415838e-19	2.7993513743056e-19	0.000380056499638772	0	3.96753420055899e-19	0	1.18841777109377e-18	7.84701736534177e-19	0	0	0	2.4201867342597e-18	4.33063306807263e-19	0.000730828400363465	0	3.14068218055435e-18	0.000230530024678398	1.12634478172151e-18	1.87078419541277e-19	0	5.0097626985234e-19	2.55869007198389e-19	6.41832183144809e-18	1.04390270291198e-18	8.55560401468547e-19
Smooth_muscle	0	0.0823153198830145	0	0	0.105055012306927	0.104005777343334	0.0396334305681427	0.0537480251580801	0.0116826274007446	0.0198027850281233	0	0.0304833727640241	0.0217607559923459	0.0329262102298469	0	0.14299106446719	0.00194851367368848	0.0529229992638451	0	0.0276939177417101	0.0467506946685212	0.0566931261583531	0	0.00263943384224809	0.0370404897409313	0.135621248355447	0.0260571283517624	0.0715218379378534
Tgd_cells	1.02803966447883e-17	0	9.53644206703227e-18	0	2.09180195657881e-18	1.10085145028909e-17	2.45524301839206e-18	0	1.76374756387721e-18	0	1.90678434674907e-17	8.87324229943567e-18	0	0	0	1.12787937842785e-18	5.46610028784814e-18	0	1.93181302618132e-17	1.40585266847722e-17	0	2.34557110930993e-17	0	7.900636269224e-18	0	1.20201660602747e-17	0	0
Th1_cells	0	0.0177694589608959	0	0.0292489477553905	0.000282019894428157	0	0.00753093480626282	0.00347772880218534	3.52708779705699e-18	0.026864387901459	2.13409610546803e-17	0.0441360297172078	0.019069367430891	0.0551821006200342	0.0252483835575071	0	1.05009825305326e-17	4.91954472644751e-18	1.72714290106636e-17	0	0.00266663361118765	0.0116292949164948	0.0821466779460465	0.00681477254483203	1.25536551181418e-17	0.0253544808458302	0.0149232614474213	0.0145308714220327
Th2_cells	0.0710237333766868	0.0670167979313603	0.045803834855457	0.0010041557863192	0.0238138153419312	0.0611480887688523	0.111408009280096	0.151162019892737	0.0101934815787073	0.0620209169728494	0.0693489149349944	0.07481157181726	0.149427613988631	0.0449942556266989	0.0399854737617337	0.104611087862115	0.0744399195474084	0.0519653383629279	0.0414575642236768	0.0403517774257147	8.36824538212e-18	0.0729900763511876	0.13939849234138	0.0516703600288926	0.0160053767085189	0	0.0886208068521835	0.0844098880534105
Tregs	0	0	5.35723587614128e-19	2.09338456850284e-18	0.0355556596921828	4.96830606918121e-18	0	1.8570128121022e-18	5.02864274374604e-19	3.84566635213951e-18	4.38183984144737e-18	0	0.00401008040399562	0	0	0	0	0.00446618731425107	8.42827571577191e-18	0	0.0507481246092961	0	2.72647509983049e-19	0	0.0120077853296312	0.0014770243146032	0	7.93963888661744e-19
