genename	species	cancername	sample	method
miR-423-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1231	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4253	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-199b-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-10b-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3622a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-668-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-106b-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1908-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-130a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-320a	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4447	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1225-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-125b-1-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1244	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-520d-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4265	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3189-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-107	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-503-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-200c-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1193	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-181a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-500a-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1247-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-675-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-146b-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-449a	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4292	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3116	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-5572	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3180-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4323	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4467	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-622	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1262	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-32-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-30d-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-574-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
let-7e-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3686	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-612	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3170	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-10a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-186-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4687-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-194-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-373-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1304-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-890	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-2113	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4322	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3657	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-33a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3199	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1183	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-548m	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3198	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3115	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-501-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4268	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-514b-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3945	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-454-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-758-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-541-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
let-7b-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-223-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-375	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1912	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-93-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-374b-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3175	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3188	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-632	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-103a-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1279	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-96-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3922-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4297	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-590-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-126-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-219a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-26b-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3146	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-615-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-139-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3174	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3913-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-676-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3664-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3137	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3147	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3616-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4317	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-361-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-187-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-942-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-302c-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-126-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-133a-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-132-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-16-2-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-609	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-301a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-483-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-128-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-26a-2-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-542-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1914-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-524-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
let-7d-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4303	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3179	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-548b-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1468-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3173-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-2116-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-328-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-545-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-762	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-18b-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4455	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4254	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-2355-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-20b-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-138-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-545-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-2278	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-25-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-151a-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-105-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1208	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1275	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-185-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1587	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4787-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-192-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-769-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-500a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1251-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-223-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-2276-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-299-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-513c-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3144-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-29c-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1224-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-588	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-548n	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4680-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-376b-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-376c-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1250-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-5698	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3187-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-151a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-29a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-365a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-2113	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-519b-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-218-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-382-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-652-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-511-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4472	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-502-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1278	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-542-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-573	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-181b-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-924	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-2052	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4316	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-4257	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-380-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3662	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-520e	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-708-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-544a	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-645	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-23b-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-122-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-128-1-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-630	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1323	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1200	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-5006-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-603	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3151-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-520g-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1307-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-19a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-200a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1539	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-302d-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3150a-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-20a-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-185-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-936	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-655-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-648	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-760	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-210-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-92a-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3682-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-657	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-1538	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-200b-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-649	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-32-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-504-5p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-432-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-3944-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
miR-503-3p	Homo sapiens	colorectal cancer	Colorectal cancer cells	miRCURY LNA microRNA Array 7th Gen
let-7a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
let-7a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
let-7b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
let-7c-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
let-7d-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
let-7d-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
let-7e-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
let-7f-1-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
let-7f-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
let-7g-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
let-7i-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
let-7i-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-101-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-103a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-106a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-106b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-106b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-107	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-10a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-10a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-10b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-1246	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-1254	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-126-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-126-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-1266-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-128-1-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-128-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-1285-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-1296-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-1307-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-1307-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-130b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-132-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-135b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-140-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-141-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-141-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-142-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-142-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-143-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-146a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-146b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
