genename	species	cancername	sample	method
91H	Homo sapiens (human)	colorectal cancer	Cell lines HCT-8,HCT-116 and FHC (normal human intestinal epithelial cell line)	Western blot,RT-PCR,etc.
NONHSAT105177	Homo sapiens (human)	pancreatic cancer	normal human pancreatic cell line HPDE and PDAC cell lines,SW1990,Capan1,PATU8988,HS766T,BXPC3,and Panc1	qPCR,Western blot,FISH,etc.
LncRNA-CAF/interleukin-33	Homo sapiens (human)	oral squamous cell carcinoma	The human OSCC cell line,HSC-3	RT-qPCR,RIP,etc.
UFC1	Homo sapiens (human)	lung cancer	Human NSCLC cell lines (A549 and H1299) and human normal embryonic lung fibroblast (MRC-5)	Western blot,RIP,etc.
MALAT1	Homo sapiens (human)	breast cancer	Human breast cancer cell lines (MCF-7,MDA-MB-231,and MDA-MB-435S)	RT-qPCR,etc.
SBF2-AS1	Homo sapiens (human)	glioblastoma	Five human GBM cell lines (U87,LN229,A172,T98,U251) and human embryonic kidney (HEK) 293?T cells	RT-qPCR,Western blot,RIP,Luciferase,ChIP,etc.
PCAT1	Homo sapiens (human)	bladder cancer	A total of 520 serum samples were collected,including 260 healthy serum samples and 260 BC serum samples.	Western blot,RT-qPCR,etc.
UBC1	Homo sapiens (human)	bladder cancer	A total of 520 serum samples were collected,including 260 healthy serum samples and 260 BC serum samples.	Western blot,RT-qPCR,etc.
SNHG16	Homo sapiens (human)	bladder cancer	A total of 520 serum samples were collected,including 260 healthy serum samples and 260 BC serum samples.	Western blot,RT-qPCR,etc.
lnc-MMP2-2	Homo sapiens (human)	lung cancer	non small cell lung cancer cells (A549) and human lung microvascular endothelial cells (HMVEC-L) 	Microarray,RT-qPCR,Western blot,Luciferase,etc.
Xist	Homo sapiens (human)	breast cancer	Human breast carcinoma cell lines,MCF7,ZR75-1,SKBR3,andMDA-MB-231 (MDA-231)	RT-qPCR,etc.
PCAT1	Homo sapiens (human)	oral squamous cell carcinoma	ESCC cell lines (KYSE30,KYSE70,KYSE140,KYSE150,KYSE180,KYSE410,KYSE450,KYSE510 and COLO680N)	RT-qPCR,Luciferase,Western blot,etc.
UCA1	Homo sapiens (human)	breast cancer	Human breast cancer cell lines MDA-MB-231,non-cancerousmammary epithelial line MCF-10A,lung fibroblast WI-38 and HFL1 cells 	RT-qPCR,etc.
HOTAIR	Homo sapiens (human)	breast cancer	Cell lines and chemicals The human breast cancer cell lines,MDA-MB-231,BT474,and T47D	RT-qPCR,Western blot,etc.
HNF1A-AS1	Homo sapiens (human)	cervical cancer	Human normal cervical epithelial cells HcerEpic,DDP-sensitive CC cell line HeLa/S and DDP-resistant cell line HeLa/DDP	FISH,RIP,Luciferase,RT-qPCR,Western blot,etc.
RBMX	Homo sapiens (human)	prostate cancer	The prostate cancer cell lines,LNCaP,PC3,and DU145	etc.
ELAVL1 	Homo sapiens (human)	prostate cancer	The prostate cancer cell lines,LNCaP,PC3,and DU145	etc.
SFRS1 	Homo sapiens (human)	prostate cancer	The prostate cancer cell lines,LNCaP,PC3,and DU145	etc.
HOTAIR	Homo sapiens (human)	bladder cancer	BC cell lines used: SV-HUC,5637,TCC-SUP,T24,UMUC3,HT1376,J82,and RT4	RT-qPCR,Western blot,etc.
