mix	GSM4674661	GSM4674662	GSM4674663
B_cell	0.0758	0.1007	0.1711
CD4_T_cell	0.3609	0.3825	0.3633
CD8T_cell	0.1551	0.1924	0.1757
Erythrocytes_cell	0.0011	0.0023	0.0024
Mono_Macro_cell	0.237	0.0862	0.0746
NK_cell	0.064	0.1186	0.0819
Others_cell	0.0952	0.1154	0.1208
Plasma_cell	0.0109	0.0019	0.01
