mix	GSM4674664	GSM4674665	GSM4674666
B_cell	0.1415	0.1359	0.1426
CD4_T_cell	0.4826	0.4185	0.4941
CD8T_cell	0.1623	0.1228	0.1147
Erythrocytes_cell	0.0104	0.1879	0.0031
Mono_Macro_cell	0.052	0.0498	0.0518
NK_cell	0.0489	0.0481	0.0622
Others_cell	0.0999	0.0315	0.1239
Plasma_cell	0.0024	0.0057	0.0076
