Control Mean	Case Mean	FDR	P.Value	log2FC	name
7.6875	2.78125	9.77376608406285e-09	38.7189215868832	-4.90625	hsa-miR-127-3p
7.6025	3.10625	2.24972204522798e-07	32.6092707068609	-4.49625	hsa-miR-409-3p
9.7825	5.51291666666667	0.84097492724571	5.90185045929285	-4.26958333333333	hsa-miR-31-5p
2.8725	7.13833333333333	0.909542091203338	5.38294673900107	4.26583333333334	hsa-miR-199a-3p
2.8725	7.13833333333333	0.909542091203338	5.38294673900107	4.26583333333334	hsa-miR-199b-3p
7.375	3.56208333333333	1.061934721229e-06	29.9553567949699	-3.81291666666667	hsa-miR-487b-3p
6.685	2.87833333333333	3.7442848071018e-05	24.0080786852426	-3.80666666666667	hsa-miR-224-5p
2.4125	6.12125	0.999554028048876	4.73037718840276	3.70875	hsa-miR-146a-5p
6.1125	2.52083333333333	1.11039445532141e-06	29.569051515205	-3.59166666666667	hsa-miR-382-5p
9.01	5.78958333333333	0.999554028048876	4.71568142542681	-3.22041666666667	hsa-miR-155-5p
3.18	6.24416666666667	0.999554028048876	3.98838872290481	3.06416666666667	hsa-miR-199a-5p
5.88	2.82166666666667	8.37833731597032e-08	34.6192440999314	-3.05833333333333	hsa-miR-654-3p
6.7725	3.73208333333333	2.09790471621802e-05	25.0662121292399	-3.04041666666666	hsa-miR-134-5p
8.6125	5.57666666666667	0.112557107272643	10.7746512783067	-3.03583333333334	hsa-miR-152-3p
6.3	3.49375	0.00498194272192832	15.8526685640564	-2.80625	hsa-miR-379-5p
6.4375	3.63875	0.755042448179993	6.78761635750736	-2.79875	hsa-miR-615-3p
5.9025	8.56	0.999554028048876	3.28177370331159	2.6575	hsa-miR-214-3p
6.0875	3.45291666666667	0.000305648950934966	20.2875449410703	-2.63458333333333	hsa-miR-432-5p
6.365	3.84416666666667	0.0052506509201388	15.6837713105481	-2.52083333333333	hsa-miR-224-3p
8.24	5.8025	0.000557522603577514	19.2187256739798	-2.4375	hsa-miR-494-3p
10.705	8.28125	0.999554028048876	2.97417859761163	-2.42374999999999	hsa-let-7i-5p
5.3575	2.98916666666667	4.34922434831749e-05	23.5993656542377	-2.36833333333333	hsa-miR-381-3p
7.375	5.05666666666667	0.999554028048876	4.45044577313532	-2.31833333333333	hsa-miR-424-3p
10.8875	8.57166666666667	0.973633901321671	5.0707327974214	-2.31583333333333	hsa-miR-22-3p
5.9225	3.665	0.00012684787623736	21.7331682293333	-2.2575	hsa-miR-376c-3p
7.2075	5.05458333333333	0.818564606648716	6.29705612882397	-2.15291666666667	hsa-miR-149-5p
6.3875	8.51166666666667	0.999554028048876	4.46474653752523	2.12416666666667	hsa-miR-20b-5p
4.85	2.73583333333333	7.36231425252649e-05	22.6700394518764	-2.11416666666667	hsa-miR-433-3p
10.755	8.66291666666667	0.802979552339551	6.40468034130979	-2.09208333333333	hsa-miR-130a-3p
9.9525	7.86791666666667	0.999554028048876	3.04864017066804	-2.08458333333334	hsa-miR-181a-5p
7.515	5.45458333333333	0.999554028048876	4.57988051444533	-2.06041666666667	hsa-miR-339-5p
9.075	11.12125	0.754850807783205	6.89764227053411	2.04625000000001	hsa-miR-20a-5p
5.505	3.47708333333333	0.128144464603885	10.430784054372	-2.02791666666667	hsa-miR-452-5p
4.0425	2.07708333333333	0.00307669128497446	16.6475329814241	-1.96541666666667	hsa-miR-329-3p
6.6175	4.65416666666667	0.973965815186785	5.05050818508841	-1.96333333333333	hsa-miR-935
9.74	11.68625	0.567545389842537	7.57012362251523	1.94625	hsa-miR-17-5p
9.5225	11.4545833333333	0.746239930099323	6.97818299451288	1.93208333333334	hsa-miR-106a-5p
3.8375	1.96208333333333	0.000305648950934966	20.20135757323	-1.87541666666667	hsa-miR-543
3.2525	5.07291666666667	0.999554028048876	2.52727195098023	1.82041666666667	hsa-miR-139-5p
4.125	2.32125	0.0178030850887292	13.6742847193071	-1.80375	hsa-miR-154-5p
4.96	3.18041666666667	0.031578233441708	12.7734809388941	-1.77958333333333	hsa-miR-493-3p
4.91	3.1375	0.995938757268225	4.94920244535565	-1.7725	hsa-miR-140-5p
4.3375	2.57541666666667	0.0883233217204417	11.2192276458703	-1.76208333333333	hsa-miR-22-5p
5.7775	4.01708333333333	0.465337550603874	8.04420879260254	-1.76041666666667	hsa-miR-193a-3p
9.2375	7.48875	0.999554028048876	3.05952966100209	-1.74875	hsa-miR-181b-5p
5.5025	3.76708333333333	0.795977058028459	6.4396845552733	-1.73541666666667	hsa-let-7d-3p
6.7925	8.52083333333333	0.999554028048876	2.68393847796014	1.72833333333333	hsa-miR-18a-5p
8.73	10.4333333333333	0.999554028048876	3.69296015575688	1.70333333333333	hsa-miR-4454
6.895	8.59458333333333	0.999554028048876	3.24806318274782	1.69958333333333	hsa-miR-1281
5.7375	7.43583333333333	0.999554028048876	2.64050459234213	1.69833333333334	hsa-miR-1825
2.915	4.60375	0.921650879895394	5.29588714983065	1.68875	hsa-mir-139
4.04	2.35708333333333	0.755042448179993	6.76096614809273	-1.68291666666667	hsa-miR-196b-5p
7.51	5.86	0.999554028048876	2.52526468812367	-1.65	hsa-miR-503-5p
9.8575	8.21375	0.818564606648716	6.11761964891853	-1.64375	hsa-miR-574-3p
6.5175	4.88333333333333	0.999554028048876	4.2834673096819	-1.63416666666666	hsa-miR-93-3p
8.02	6.42375	0.999554028048876	2.65069989818967	-1.59625	hsa-miR-324-5p
7.145	5.57083333333333	0.999554028048876	3.70851086761401	-1.57416666666667	hsa-miR-345-5p
7.875	6.30875	0.999554028048876	4.61238100471214	-1.56625	hsa-miR-193a-5p
5.615	4.05916666666667	0.0159996381403664	13.9063752217236	-1.55583333333333	hsa-miR-1306-5p
4.93	3.38625	0.995938757268225	4.93438728911386	-1.54375	hsa-miR-941
6.7925	5.29166666666667	0.999554028048876	3.22507356919553	-1.50083333333333	hsa-miR-181a-2-3p
9.995	8.50208333333333	0.999554028048876	3.70157442100698	-1.49291666666667	hsa-miR-25-3p
4.5775	6.06583333333333	0.999554028048876	1.64431118262651	1.48833333333334	hsa-miR-99a-5p
9.4275	7.94875	0.999554028048876	1.24643100556464	-1.47875	hsa-miR-100-5p
8.52	7.04166666666667	0.999554028048876	2.32983972307498	-1.47833333333333	hsa-miR-423-3p
2.28	3.74958333333333	0.818564606648716	6.11204191990209	1.46958333333333	hsa-miR-1299
9.095	7.6275	0.921650879895394	5.25884074872259	-1.4675	hsa-miR-140-3p
4.24	2.78666666666667	0.112557107272643	10.7381922918699	-1.45333333333333	hsa-miR-431-5p
7.435	6.045	0.999554028048876	4.10871930279608	-1.39	hsa-miR-3135b
8.59	9.97875	0.999554028048876	3.53994326110238	1.38875	hsa-miR-19b-3p
4.8625	3.47791666666667	0.221435790942795	9.39157896691297	-1.38458333333333	hsa-miR-337-5p
6.945	5.56541666666667	0.999554028048876	4.01918437846957	-1.37958333333333	hsa-miR-197-3p
7.475	6.10041666666667	0.999554028048876	2.40067836957394	-1.37458333333334	hsa-miR-210-3p
4.0325	2.6625	0.299518093856393	8.84976824600203	-1.37	hsa-miR-127-5p
3.42	2.05958333333333	0.00916824322284641	14.7921594356013	-1.36041666666667	hsa-miR-323a-3p
4.1925	2.845	0.84097492724571	5.78962411756921	-1.3475	hsa-miR-148a-3p
4.0325	5.37958333333333	0.999554028048876	3.8612067899959	1.34708333333333	hsa-miR-4269
4.605	3.26625	0.56577001061606	7.64679347902966	-1.33875	hsa-miR-485-5p
5.3525	6.68458333333333	0.999554028048876	2.53404892695464	1.33208333333334	hsa-miR-532-5p
7.79	6.46208333333333	0.999554028048876	1.78756994785774	-1.32791666666667	hsa-miR-10a-5p
5.2675	3.94125	0.999554028048876	3.17495506302941	-1.32625	hsa-miR-491-5p
6.3625	5.05291666666667	0.999554028048876	2.82737177878685	-1.30958333333333	hsa-miR-128-3p
4.435	3.12583333333333	0.259287136168331	9.10366446177192	-1.30916666666667	hsa-miR-299-5p
3.78	5.08666666666667	0.999554028048876	3.28205179701259	1.30666666666667	hsa-miR-486-5p
6.5325	5.23708333333333	0.999554028048876	1.94675765464943	-1.29541666666667	hsa-miR-15a-5p
2.905	4.19958333333333	0.999554028048876	3.20354536343501	1.29458333333333	hsa-miR-18a-3p
6.975	5.70166666666667	0.999554028048876	3.18764250805072	-1.27333333333333	hsa-miR-1180-3p
5.3175	4.04666666666667	0.936880701263893	5.16188323809266	-1.27083333333333	hsa-miR-542-5p
6.7875	5.55375	0.999554028048876	3.12647319203618	-1.23375	hsa-miR-324-3p
4.4275	3.20291666666667	0.754850807783205	6.82187332464285	-1.22458333333333	hsa-miR-409-5p
10.8575	9.6375	0.999554028048876	1.99233047501295	-1.22	hsa-miR-3178
4.71	5.92791666666667	0.999554028048876	0.935609557982045	1.21791666666667	hsa-miR-122-5p
3.6825	2.46458333333333	0.412094755552623	8.2860938420072	-1.21791666666667	hsa-miR-377-5p
7.2025	6.03791666666667	0.999554028048876	2.21383394177622	-1.16458333333333	hsa-miR-30b-5p
4.625	5.78875	0.999554028048876	1.77135255913908	1.16375	hsa-miR-212-3p
4.1025	2.94125	0.117731342539284	10.6119504569577	-1.16125	hsa-miR-1296-3p
4.65	3.50333333333333	0.999554028048876	4.00060987418894	-1.14666666666667	hsa-miR-31-3p
9.865	8.72958333333333	0.999554028048876	1.15962398624427	-1.13541666666666	hsa-let-7d-5p
4.6975	3.57083333333333	0.818564606648716	6.09553436809422	-1.12666666666667	hsa-miR-411-5p
2.9275	4.045	0.999554028048876	1.49468805293712	1.1175	hsa-miR-214-5p
3.175	2.0575	0.221435790942795	9.37863238353158	-1.1175	hsa-miR-381-5p
3.5225	2.40708333333333	0.818564606648716	6.12757924679391	-1.11541666666667	hsa-miR-767-5p
