Control Mean	Case Mean	FDR	P.Value	log2FC	name
295479.21	300870.721	1	0.0767090995501998	-5391.51099999988	ENSG00000258486.2
1393.4815	572.3506	1	3.89342197644233	821.1309	RNA5-8S5
676.9044	1491.0439	1	4.78212118525683	-814.1395	FTL
39672.91	38945.304	1	0.141894401941048	727.605999999992	RNA45S5
677.92615	1131.79477	1	1.63724514634417	-453.86862	LOC100507412
494.4744	903.9	1	4.33676704008538	-409.4256	FTH1
1772.0074	1384.68299	1	1.21390786112439	387.324409999999	ENSG00000269900.2
1772.0074	1384.68299	1	1.21390786112439	387.324409999999	RMRP
4341.101	4050.646	1	0.424014219983013	290.454999999999	RPPH1
810.88	531.8211	1	3.5666400214668	279.0589	RPL41
114.2411	351.51958	1	2.65705354621052	-237.27848	ALDOB
480.51305	261.4167	1	7.49916288735497	219.09635	RPS6
585.5944	395.16836	1	3.09535316763276	190.42604	SNORD32A
2320.9748	2166.832	1	0.42081273093625	154.142800000001	ENSG00000259001.2
469.03477	317.51684	1	4.32661292923017	151.51793	RPLP1
70.83775	221.76104	1	2.58139475816686	-150.92329	GPX3
577.7171	434.98097	1	2.33003282079657	142.73613	RPL13AP5
340.91333	206.15573	1	3.73401149903632	134.7576	RPL37A
4.324333	131.22724593	1	3.04065452897172	-126.90291293	SPP1
186.12087	60.478601	0.435248458437182	14.8044104706159	125.642269	ADIRF
246.03566	121.60257	1	8.17346218356265	124.43309	RPL26
307.65036	189.34547	1	4.34025738278083	118.30489	RPS11
99.88542	211.53324	1	2.67532179599253	-111.64782	TMSB4X
266.87859	155.52328	1	6.18626930661077	111.35531	RPS8
293.80757	188.28673	1	3.20034424934722	105.52084	SNORD54
351.41257	247.0213	1	3.5018005889372	104.39127	SNORD49B
89.02267	192.77954	1	2.40718299225306	-103.75687	MT1G
212.37833	111.19123	1	5.59164041125745	101.1871	RPS27
1005.0638	908.4727	1	0.615226918052621	96.5911000000001	EEF1A1
202.90123	107.463815	1	3.37333036450493	95.437415	ENSG00000263934.2
226.83491	133.4786	1	5.53405582021082	93.35631	RPS12
189.84619	96.73829	1	7.17471113381873	93.1079	SNORD72
369.79629	277.44303	1	2.43396606618122	92.35326	RPL13A
440.08599	349.7303	1	1.42072151277803	90.3556900000001	SNORD34
225.38552	138.03246	1	4.87416771222284	87.35306	RPL10A
143.45192	57.14447	1	11.8613051068117	86.30745	S100A6
212.02328	127.18557	1	5.50795470886271	84.8377099999999	RPL23
122.52633	44.386595	1	7.55143734217979	78.139735	DHRS2
224.60268	146.8023	1	4.37647478299578	77.80038	RPL11
189.4086	111.61704	1	4.84029355001582	77.79156	SNORD38A
308.62195	235.44349	1	2.06812919982068	73.17846	RPS15
576.8097	503.8602	1	0.617445553538513	72.9495	TPT1
144.45984	74.42856	1	8.48981915721207	70.03128	RPL39
165.79519	97.73362	1	5.46568465435149	68.06157	RPL35A
191.89141	124.12006	1	4.81631424673513	67.77135	RPLP2
199.72878	134.66061	1	5.20963241941733	65.06817	SNORA27
206.52893	142.47479	1	3.85323010318714	64.05414	RPL6
188.43833	124.68024	1	4.0530253734949	63.75809	RPL27
145.3525	81.97299	1	6.62811711163093	63.37951	RPS15A
204.55415	142.874759	1	1.88394202645622	61.679391	SNORA31
179.74848	239.91299	1	3.02242670423938	-60.16451	ACTB
197.93924	138.19672	1	2.9992406351121	59.74252	RPS28
143.95838	85.52823	1	4.86627749239763	58.43015	RPL30
31.86479	89.77961	1	3.81527685309379	-57.91482	B2M
314.8647	256.95294	1	1.76085522067276	57.9117599999999	SNORD35A
259.42272	201.51202	1	2.44759299952451	57.9107	RPL7A
244.95604	187.35096	1	2.65277062484822	57.6050799999999	RPL29
106.02268	48.442846	1	4.60629999841457	57.579834	S100P
219.72989	163.01164	1	3.22591714549917	56.71825	RPL19
176.56067	120.35293	1	3.54812163401351	56.20774	RPS25
125.44838	71.31153	1	5.65813550231985	54.13685	SNORA52
166.72502	113.1364	1	4.23776809103519	53.58862	RPS14
138.54516	87.0144	1	4.31872084502277	51.53076	RPL38
111.54891	60.266981	1	6.24098539844768	51.281929	RPS13
187.41601	136.31519	1	2.74509945042383	51.10082	RPS4X
184.46286	134.55069	1	3.29165722437414	49.91217	RPL12
207.1292	157.58549	1	2.73653218949028	49.5437099999999	RPS16
144.67569	95.52735	1	4.83001456289682	49.1483400000001	RPL7
157.7921	109.38353	1	3.7943605150648	48.40857	RPL21P28
156.67705	108.61037	1	3.79438548410674	48.06668	RPL21
378.58929	330.96761	1	0.933083965592363	47.62168	RPL3
204.90339	157.61092	1	2.31740133723304	47.29247	MIR4426
128.03228	81.12837	1	6.57708985997152	46.90391	RPS10
41.29828	87.321865	1	2.9752581064007	-46.023585	FXYD2
148.17145	102.6374	1	3.85121120721804	45.53405	RPL5
136.45491	91.52887	1	3.84863397697123	44.92604	RPL24
68.12656	23.898466	1	8.53899393392288	44.228094	ENSG00000233891.3
173.48385	129.78181	1	2.79428373145395	43.70204	RPL35
138.20134	94.99234	1	4.52067093974019	43.209	SNORA10
105.78409	63.14902	1	6.7667901631056	42.63507	RPL17
83.6652	41.57372	1	3.43940289073411	42.09148	EVPL
210.7424	168.80804	1	2.82013451953175	41.9343599999999	ENSG00000265401.1
136.35047	96.20431	1	4.47248401420318	40.14616	HSPA8
