Control Mean	Case Mean	FDR	P.Value	log2FC	name
109600.376901667	96112.6855402778	0.681852870328927	4.31449916183519	13487.6913613889	hsa-miR-423-5p
109598.070063333	96112.0789708333	0.681852870328927	4.31387061434542	13485.9910925	hsa-miR-3184-3p
34335.3710933333	22876.8019880556	0.681852870328927	4.26339938812521	11458.5691052778	hsa-miR-99a-5p
14374.24744125	24460.3349314444	0.284837358314928	10.5549411112311	-10086.0874901944	hsa-let-7a-5p
50795.85941	41045.8499344444	0.777558414602172	2.91791994930517	9750.00947555555	hsa-miR-128-3p
18648.4338066667	26649.7976153889	0.681852870328927	4.53697084643139	-8001.36380872222	hsa-let-7i-5p
30178.8757566667	37613.1011638889	0.681852870328927	5.24747028546723	-7434.22540722221	hsa-let-7b-5p
8307.148243	14767.5264741667	0.377460422368453	9.5637916059499	-6460.37823116667	hsa-let-7f-5p
10057.3974248333	4182.30258752778	0.701327911403816	3.36017258025253	5875.09483730556	hsa-miR-129-5p
20002.64765225	24501.8828444444	0.777558414602172	2.71123787297123	-4499.23519219443	hsa-miR-181b-5p
23512.1712085	27808.4524313333	0.810254705243317	0.643735507224185	-4296.28122283334	hsa-miR-3591-3p
23513.1044551667	27809.1545068889	0.810254705243317	0.643691971959516	-4296.05005172224	hsa-miR-122-5p
88347.80025	85355.4048697222	0.878232494388695	0.377071162708816	2992.39538027777	hsa-miR-486-3p
88550.9508418333	85715.8273163889	0.882815492883583	0.355011465310112	2835.12352544449	hsa-miR-486-5p
5451.17567866667	7566.71355680556	0.681852870328927	4.67742594056329	-2115.53787813889	hsa-miR-26a-5p
3980.65857791667	5930.18645952778	0.681852870328927	6.48282119254745	-1949.52788161111	hsa-let-7c-5p
5262.75056690833	6895.81287905556	0.688676850648852	3.46710433051313	-1633.06231214722	hsa-miR-126-3p
2212.17811466667	3791.26891858333	0.284837358314928	10.9133251499608	-1579.09080391666	hsa-let-7g-5p
4105.98561558333	5591.53540422222	0.681852870328927	3.70336667468494	-1485.54978863889	hsa-miR-21-5p
14986.648285	13596.1122361389	0.777558414602172	1.62264826190809	1390.53604886111	hsa-miR-30d-5p
2569.90002098333	3951.67913372222	0.681852870328927	5.0370991756864	-1381.77911273889	hsa-miR-9-5p
7854.65258458333	8905.45729947222	0.777558414602172	1.111133778643	-1050.80471488889	hsa-miR-9-3p
8114.81409808333	9161.90638586111	0.777558414602172	1.83133259750437	-1047.09228777777	hsa-miR-25-3p
10742.2067459167	11696.4147250278	0.777558414602172	0.869306779250338	-954.207979111108	hsa-miR-181a-5p
68389.6872758333	67593.12272	0.93608412505513	0.181314329600409	796.564555833349	hsa-miR-92a-3p
6826.67737116667	7607.98433305556	0.777558414602172	2.02607596064556	-781.306961888885	hsa-miR-423-3p
6794.30704716667	7573.03109	0.777558414602172	2.03050228504367	-778.724042833333	hsa-miR-3184-5p
20060.78187	20824.2310694444	0.832690104561401	0.547346341802481	-763.449199444443	hsa-miR-100-5p
10144.4925259167	9465.23711397222	0.777558414602172	0.849855318286927	679.255411944445	hsa-miR-92b-3p
25646.2295466667	26238.8800711111	0.8888738232508	0.333784910193546	-592.650524444434	hsa-miR-320a
5923.48174975	6461.58761744444	0.777558414602172	0.932541933108452	-538.105867694444	hsa-miR-328-3p
3785.45604258333	4295.5140705	0.777558414602172	1.85297557643762	-510.058027916667	hsa-miR-222-3p
6917.5796855	6418.59043797222	0.777558414602172	1.12313507078748	498.989247527778	hsa-miR-99b-5p
16020.29404525	15567.9660835	0.935153000519033	0.186459084111132	452.327961750005	hsa-miR-148a-3p
3917.27573191667	3502.60242913889	0.777558414602172	2.48066160130317	414.67330277778	hsa-miR-323a-3p
6272.614964	5878.36012083333	0.777558414602172	0.899117793223407	394.254843166668	hsa-miR-22-3p
962.548688333333	1322.28522465833	0.681852870328927	3.54954444106239	-359.736536325	hsa-miR-101-3p
762.368134041667	1103.18321041944	0.681852870328927	5.90393928031821	-340.815076377777	hsa-let-7e-5p
24439.4867266667	24101.9301513056	0.970026081113811	0.0883512846331425	337.556575361119	hsa-miR-451a
1471.8363695	1135.08000681667	0.653921136515931	7.54860791106269	336.756362683334	hsa-let-7d-3p
9807.16935016667	9501.26678486111	0.883794184419962	0.34841147465334	305.902565305561	hsa-miR-10b-5p
5173.62957758333	4870.98060925	0.803418646023618	0.673065144010565	302.648968333331	hsa-miR-125b-5p
312.032258208333	611.102995272222	0.538239395397982	8.31490340397908	-299.070737063889	hsa-miR-146b-5p
755.639730875	1027.861840575	0.681852870328927	4.24835891772896	-272.2221097	hsa-miR-181d-5p
423.119988891667	675.587543130556	0.681852870328927	6.12580483685953	-252.467554238889	hsa-miR-146a-5p
1729.11775394167	1978.97509027778	0.777558414602172	2.18950115542442	-249.857336336111	hsa-miR-191-5p
472.956300071667	225.236303188056	0.681852870328927	3.52231464878109	247.719996883611	hsa-miR-543
1576.43354923333	1346.66924754722	0.777558414602172	1.69802168905173	229.764301686111	hsa-miR-433-3p
524.768059763333	308.359451871111	0.777558414602172	2.09643692787146	216.408607892222	hsa-miR-218-5p
735.8361413	951.947955416667	0.777558414602172	1.02482689447896	-216.111814116667	hsa-miR-7-5p
1901.89345830833	1688.594736975	0.777558414602172	2.07194188012463	213.298721333334	hsa-miR-3615
1718.91012088333	1929.79334466667	0.777558414602172	1.37606941341499	-210.883223783333	hsa-miR-127-3p
353.682502391667	563.109757847222	0.538239395397982	8.49155735226806	-209.427255455555	hsa-let-7d-5p
731.129033408333	937.335673527778	0.777558414602172	0.993050229321731	-206.206640119445	hsa-miR-3529-3p
912.979833666667	711.161641577778	0.777558414602172	1.32388278486279	201.818192088889	hsa-miR-432-5p
1041.12796035	849.417749113889	0.777558414602172	1.42745798874418	191.710211236111	hsa-miR-30a-5p
1599.75615578333	1418.58870853889	0.777558414602172	0.884256565448394	181.167447244444	hsa-miR-381-3p
894.155271475	1070.32024208056	0.777558414602172	2.88408864359167	-176.164970605556	hsa-miR-139-5p
2807.06516175	2641.05994215833	0.87591432827484	0.407495065777123	166.005219591667	hsa-miR-125a-5p
956.364189958333	794.514110255556	0.777558414602172	1.66986546710211	161.850079702778	hsa-miR-409-3p
211.80317905	370.797780528056	0.681852870328927	4.62089629826114	-158.994601478056	hsa-miR-98-5p
1858.17907525	2007.36164144444	0.777558414602172	0.846623065981503	-149.182566194444	hsa-miR-24-3p
659.634129755	806.082932875	0.777558414602172	1.09780866506301	-146.44880312	hsa-miR-223-5p
1858.17907525	2004.59182005556	0.777558414602172	0.829285426463324	-146.412744805555	hsa-miR-3074-5p
220.12920055	74.9527287647222	0.681852870328927	5.07604454595031	145.176471785278	hsa-miR-105-5p
874.569006858333	1011.59132353611	0.777558414602172	2.98137490424607	-137.022316677777	hsa-miR-484
357.319111616667	490.140440669444	0.681852870328927	4.1740881444399	-132.821329052778	hsa-miR-379-5p
5028.85343883333	4897.80109522222	0.915156536834429	0.237173755342507	131.052343611112	hsa-miR-151a-3p
1467.46978554167	1587.684644475	0.777558414602172	1.45371294659449	-120.214858933333	hsa-miR-204-3p
331.2598792025	445.399131905556	0.681852870328927	3.92226548225398	-114.139252703055	hsa-miR-16-2-3p
252.800314226417	365.9777461875	0.681852870328927	4.8454564235243	-113.177431961083	hsa-miR-150-5p
453.3954470275	560.342514718056	0.777558414602172	1.80984089886771	-106.947067690555	hsa-miR-182-5p
1107.10966945833	1002.39075399167	0.777558414602172	0.887678582661691	104.718915466667	hsa-miR-760
250.305184625	348.668881545	0.681852870328927	5.2143532259673	-98.3636969199999	hsa-miR-30e-3p
3694.02383891667	3596.06227975	0.890219126528411	0.306875259335234	97.9615591666666	hsa-miR-10a-5p
5116.5131825	5018.64370530556	0.915156536834429	0.236249902426874	97.8694771944456	hsa-miR-320b
704.741632041667	799.414552502778	0.777558414602172	0.788979933787914	-94.6729204611112	hsa-miR-23a-3p
590.385541075	684.650590597222	0.777558414602172	2.02758161917772	-94.2650495222221	hsa-miR-584-5p
323.648706983333	417.659313894444	0.750861746848216	3.14988906534361	-94.0106069111111	hsa-miR-1307-3p
298.351488283333	389.726729208333	0.681852870328927	5.74178576295586	-91.3752409250001	hsa-miR-873-3p
283.247023541667	372.023250769167	0.777558414602172	2.56601661118729	-88.7762272275	hsa-miR-23b-3p
1381.240797725	1296.70581535	0.807485235903553	0.661474651053119	84.5349823750003	hsa-miR-885-5p
520.532839508333	603.693307397222	0.777558414602172	1.27829314475209	-83.1604678888887	hsa-miR-27a-3p
140.365484778333	219.119404231389	0.681852870328927	4.51456943075708	-78.7539194530555	hsa-miR-142-5p
