Control Mean	Case Mean	FDR	P.Value	log2FC	name
12.574	9.56	0.0836641490389602	15.4865128929953	3.014	ASCRP3010845
10.3	7.692	0.483974378892178	8.27607582488378	2.608	ASCRP3007501
10.644	8.236	0.761016730880271	6.07014735528571	2.408	ASCRP3000537
6.272	8.584	0.788224073124306	3.62969371187645	-2.312	ASCRP3010200
11.75	9.53	0.762634013338856	5.66654347808379	2.22	ASCRP3009214
8.892	6.706	0.483974378892178	11.5064636044869	2.186	ASCRP3009440
12.304	10.228	0.788224073124306	4.02346092215027	2.076	ASCRP3006333
9.296	11.286	0.80146694384477	2.47181303038529	-1.99	ASCRP3003016
7.798	9.782	0.788224073124306	3.81516163454082	-1.984	ASCRP3010223
16.348	14.388	0.80146694384477	2.46467402272314	1.96	ASCRP3002093
8.638	6.718	0.483974378892178	11.3349343192006	1.92	ASCRP3000348
12.26	10.348	0.788224073124306	3.16190211229683	1.912	ASCRP3006897
11.856	13.656	0.73315516171084	6.23944810581009	-1.8	ASCRP3008620
6.256	7.996	0.788224073124306	3.18961562105397	-1.74	ASCRP3010264
6.396	8.07	0.788224073124306	4.75094295026622	-1.674	ASCRP3008176
11.32	9.684	0.788224073124306	4.13566900956103	1.636	ASCRP3005914
14.54	12.968	0.788224073124306	3.54677585904802	1.572	ASCRP3006336
11.242	9.678	0.788224073124306	3.38193024961856	1.564	ASCRP3012225
8.904	10.462	0.817571307746869	1.63100831578261	-1.558	ASCRP3003062
13.18	11.624	0.803397163204855	2.10823943705099	1.556	ASCRP3006898
13.11	11.558	0.803397163204855	2.02931959235095	1.552	ASCRP3004722
11.142	9.59	0.80146694384477	2.5455594060228	1.552	ASCRP3003345
11.876	13.412	0.483974378892178	9.62444664843865	-1.536	ASCRP3008211
7.784	9.296	0.804849328560069	1.923251529545	-1.512	ASCRP3009567
9.008	7.502	0.788224073124306	5.26965497278076	1.506	ASCRP3006874
7.18	8.636	0.788224073124306	3.24514886764331	-1.456	ASCRP3004844
11.324	9.874	0.483974378892178	9.58543272268396	1.45	ASCRP3002927
11.136	9.71	0.483974378892178	10.8481400233323	1.426	ASCRP3007893
7.926	9.352	0.80146694384477	2.25991149569766	-1.426	ASCRP3005758
11.198	12.624	0.788224073124306	3.41235990966257	-1.426	ASCRP3006888
9.378	10.802	0.824147234001984	1.45041979908315	-1.424	ASCRP3008499
