Control Mean	Case Mean	FDR	P.Value	log2FC	name
NA	NA	0	Inf	7.01112596765141	MIMAT0005898
NA	NA	0	Inf	5.64452764474182	MIMAT0004514
NA	NA	0	Inf	5.29762222725805	MIMAT0000100
NA	NA	0	Inf	5.24206373100984	MIMAT0005880
NA	NA	0	Inf	5.0325577899023	MIMAT0024615
NA	NA	0	Inf	5.02126299921677	MIMAT0000440
NA	NA	0	Inf	4.87741606768257	MIMAT0015076
NA	NA	0	Inf	4.86862698718985	MIMAT0001631
NA	NA	0	Inf	4.78841381975866	MIMAT0019223
NA	NA	0	Inf	4.59508301528038	MIMAT0019741
NA	NA	0	Inf	4.52873067913473	MIMAT0000101
NA	NA	0	Inf	4.42918070164654	MIMAT0030987
NA	NA	0	Inf	4.41737313061186	MIMAT0004697
NA	NA	0	Inf	4.37849897051064	MIMAT0019896
NA	NA	0	Inf	4.31358471736158	MIMAT0023698
NA	NA	0	Inf	4.21423694579593	MIMAT0019925
NA	NA	0	Inf	4.20735206389451	MIMAT0019232
NA	NA	0	Inf	4.1765541041922	MIMAT0000422
NA	NA	0	Inf	4.15183967505544	MIMAT0019014
NA	NA	0	Inf	4.1415451851906	MIMAT0019236
NA	NA	0	Inf	4.1119612750116	MIMAT0019831
NA	NA	0	Inf	4.03717463432118	MIMAT0015072
NA	NA	4.46022504813385e-317	1053.80520467833	3.99392822190239	MIMAT0010214
NA	NA	0	Inf	3.95309815985832	MIMAT0019051
NA	NA	0	Inf	3.92211809685746	MIMAT0022288
NA	NA	0	Inf	3.9175912854352	MIMAT0019796
NA	NA	4.56790443729499e-305	1013.7705327966	3.89403248167258	MIMAT0018950
NA	NA	0	Inf	3.87177263819584	MIMAT0019218
NA	NA	0	Inf	3.85330669376555	MIMAT0025459
NA	NA	0	Inf	3.84462342307428	MIMAT0000418
NA	NA	2.42803138530581e-279	928.039527273692	3.83255991392326	MIMAT0019690
NA	NA	2.97804604529187e-313	1041.06265963797	3.82249996209051	MIMAT0019901
NA	NA	0	Inf	3.80275515014129	MIMAT0019935
NA	NA	0	Inf	3.74023839879225	MIMAT0019848
NA	NA	0	Inf	3.70476142307112	MIMAT0019941
NA	NA	0	Inf	3.68562355804242	MIMAT0019924
NA	NA	0	Inf	3.65573657139692	MIMAT0019810
NA	NA	4.89169828553905e-306	1017.00524591212	3.63957029444225	MIMAT0019716
NA	NA	2.51181787763954e-310	1031.30588062806	3.62592881056418	MIMAT0004515
NA	NA	1.0935046034818e-306	1019.17830384605	3.62373156810197	MIMAT0004597
NA	NA	3.02125113521749e-274	911.058311749944	3.60264026989379	MIMAT0000104
NA	NA	0	Inf	3.60008047239067	MIMAT0016880
NA	NA	1.13794411636544e-293	975.790819860874	3.59784028953501	MIMAT0019959
NA	NA	0	Inf	3.59462357347303	MIMAT0019953
NA	NA	7.36497973432981e-295	979.758213518229	3.56461170123526	MIMAT0019025
NA	NA	4.50338120195073e-303	1007.11674667543	3.50902851122482	MIMAT0019002
NA	NA	0	Inf	3.50556676012466	MIMAT0027420
NA	NA	0	Inf	3.50129157586276	MIMAT0016845
NA	NA	0	Inf	3.49422882135959	MIMAT0019929
NA	NA	2.90506672330562e-269	894.454091997934	3.49198611075608	MIMAT0019969
NA	NA	0	Inf	3.48187793951439	MIMAT0019938
NA	NA	0	Inf	3.47511590932793	MIMAT0027579
NA	NA	0	Inf	3.47415008296261	MIMAT0022500
NA	NA	0	Inf	3.47047807939144	MIMAT0000071
NA	NA	0	Inf	3.46452967551468	MIMAT0019776
NA	NA	0	Inf	3.45512019013208	MIMAT0019692
NA	NA	1.67982319586024e-320	1065.20558413365	3.45441297706854	MIMAT0003255
NA	NA	0	Inf	3.44270896025197	MIMAT0000078
NA	NA	1.33537172827942e-227	755.652023897856	3.43233279122862	MIMAT0018982
NA	NA	0	Inf	3.43119612667713	MIMAT0004699
NA	NA	0	Inf	3.40406017287273	MIMAT0004917
NA	NA	0	Inf	3.39402583302931	MIMAT0015039
NA	NA	6.58101160889693e-263	873.262295443666	3.38424355759498	MIMAT0003254
NA	NA	0	Inf	3.38176007692788	MIMAT0002883
NA	NA	9.23902757723131e-322	1069.41503749928	3.36194405316314	MIMAT0027581
NA	NA	0	Inf	3.3466693440511	MIMAT0018979
NA	NA	0	Inf	3.34664873793223	MIMAT0004970
NA	NA	1.69616372961124e-275	915.228507620803	3.34507718975028	MIMAT0019070
NA	NA	1.04696809829595e-303	1009.24049595393	3.34428507737277	MIMAT0002882
NA	NA	4.30000695077456e-274	910.546059068399	3.33935084903737	MIMAT0016872
NA	NA	0	Inf	3.33232987267604	MIMAT0004698
